BehaviorType,StartFrame,EndFrame,BehaviorNum,DTW_distance
bite,3903,3930,5,443.23
bite,3031,3045,5,512.45
bite,3211,3233,5,362.88
bite,1421,1450,5,529.63
bite,3464,3470,5,33.41
bite,1355,1366,5,884.35
bite,3559,3580,5,171.25
bite,3389,3432,5,296.19
bite,1117,1129,5,259.75
bite,3749,3782,5,397.96
bite,3822,3842,5,363.45
bite,1166,1177,5,1863.99
chase,3592,3625,4,980.61
chase,3690,3748,4,584.09
chase,2519,2555,4,366.62
chase,3260,3320,4,792.73
chase,3260,3269,4,135.3
chase,3794,3821,4,314.98
chase,3200,3210,4,235.45
chase,3079,3141,4,775.0
chase,3001,3008,4,276.59
chase,2562,2604,4,236.96
chase,2429,2508,4,404.0
chase,2645,2968,4,1592.14
chase,1683,1832,4,1130.45
chase,1367,1380,4,576.38
chase,2117,2145,4,1012.17
chase,521,536,4,1070.44
chase,1959,2086,4,1309.76
chase,537,556,4,837.25
chase,1389,1420,4,775.35
chase,1906,1938,4,554.94
chase,557,583,4,459.62
chase,1887,1905,4,755.96
chase,2146,2176,4,753.07
chase,1451,1470,4,160.67
chase,1471,1483,4,225.18
circle,3490,3507,3,432.3
circle,3433,3463,3,578.31
circle,3370,3375,3,475.92
circle,3158,3207,3,657.21
circle,3650,3689,3,533.05
display,3530,3555,2,950.2
display,3783,3793,2,569.69
display,3321,3388,2,1151.36
display,3858,3902,2,785.85
display,2265,2404,2,1225.58
display,2229,2264,2,568.08
normal,3626,3649,1,544.94
normal,584,690,1,629.47
normal,1130,1165,1,3377.62
normal,3581,3591,1,128.81
normal,2177,2221,1,786.79
normal,1381,1388,1,1119.01
normal,3234,3299,1,846.57
normal,1645,1682,1,804.84
normal,3046,3078,1,909.24
normal,3012,3030,1,749.69
normal,2969,3000,1,682.07
normal,2605,2644,1,609.11
normal,2089,2116,1,751.41
normal,1178,1354,1,2244.5
normal,500,519,1,921.1
